Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Employment_Type,Age,Monthly_Expenses,Savings_Amount,Existing_Loans,Loan_Purpose,Loan_Status
LN2130,Female,Yes,1,Graduate,Yes,214994,191703,26000,300,1,Rural,Government,49,29643,820644,2,Education,Approved
LN2131,Male,No,1,Graduate,Yes,320971,45033,72800,360,1,Semiurban,Government,28,29943,711414,2,Vehicle,Approved
LN2132,Male,Yes,1,Not Graduate,No,382193,63133,99400,120,1,Urban,Private,23,63240,280881,0,Education,Approved
LN2133,Male,Yes,2,Graduate,Yes,467505,73861,58900,300,0,Urban,Business,45,65760,157357,2,Home,Rejected
LN2134,Male,No,2,Graduate,Yes,378226,183362,111600,120,1,Semiurban,Government,25,41042,491733,2,Home,Approved
LN2135,Male,No,2,Graduate,Yes,362805,31750,42600,180,1,Urban,Private,40,76234,257440,2,Vehicle,Approved
LN2136,Male,Yes,2,Graduate,No,268484,40461,69700,300,0,Urban,Government,47,63894,603958,1,Personal,Approved
LN2137,Male,Yes,1,Graduate,No,365064,78222,111400,120,1,Semiurban,Private,32,26869,885544,0,Home,Rejected
LN2138,Male,No,3,Graduate,No,345378,112020,38800,240,1,Semiurban,Private,32,76759,924820,2,Home,Approved
LN2139,Male,No,0,Not Graduate,No,441705,24226,69200,240,1,Urban,Business,24,60437,401300,0,Home,Approved
LN2140,Female,No,1,Not Graduate,No,371090,6721,67200,180,1,Rural,Government,33,64306,209379,0,Vehicle,Approved
LN2141,Male,No,0,Graduate,No,325314,187226,12700,300,1,Rural,Business,24,62833,818447,0,Education,Approved
LN2142,Female,No,3,Graduate,No,335612,20609,105300,300,1,Semiurban,Government,48,75371,248159,2,Home,Approved
LN2143,Female,Yes,2,Not Graduate,Yes,378453,183202,14200,300,1,Semiurban,Business,23,40918,884354,2,Vehicle,Approved
LN2144,Female,No,3,Graduate,Yes,155230,130513,52200,180,1,Rural,Government,37,48379,244152,0,Home,Approved
LN2145,Male,Yes,1,Graduate,No,473966,104211,27600,300,1,Urban,Business,23,75131,929780,1,Personal,Approved
LN2146,Male,Yes,2,Graduate,Yes,474484,186321,62800,240,1,Rural,Private,51,62939,653623,0,Vehicle,Approved
LN2147,Male,Yes,1,Not Graduate,Yes,159321,179967,106500,120,1,Rural,Government,41,45274,862744,1,Home,Approved
LN2148,Male,No,2,Graduate,No,232028,136728,29700,240,0,Rural,Government,59,37696,116985,0,Vehicle,Approved
LN2149,Female,Yes,0,Not Graduate,Yes,331447,124865,70900,240,1,Rural,Private,49,22962,705032,0,Home,Approved
LN2150,Male,Yes,0,Graduate,Yes,436275,74520,94100,120,1,Semiurban,Business,46,33851,826001,0,Education,Approved
LN2151,Male,No,0,Not Graduate,Yes,388107,194812,95200,240,1,Semiurban,Government,53,72090,533178,2,Home,Approved
LN2152,Male,Yes,3,Not Graduate,Yes,201757,64309,12100,180,1,Urban,Government,31,65747,937395,1,Vehicle,Approved
LN2153,Male,Yes,1,Graduate,Yes,461403,29984,118000,120,1,Urban,Business,54,79644,221349,1,Personal,Rejected
LN2154,Male,No,3,Not Graduate,No,401207,118947,118900,240,1,Urban,Private,34,72349,605839,0,Personal,Rejected
LN2155,Female,Yes,0,Graduate,No,476369,5901,94100,360,0,Urban,Business,58,25296,664101,2,Personal,Approved
LN2156,Male,Yes,1,Not Graduate,No,478544,162624,19700,240,1,Rural,Business,37,76356,499813,2,Home,Approved
LN2157,Female,Yes,0,Graduate,Yes,442962,31055,53400,180,1,Semiurban,Business,43,34745,937457,1,Education,Approved
LN2158,Male,No,3,Graduate,No,366847,168757,73600,300,1,Semiurban,Government,41,25730,436486,2,Home,Rejected
LN2159,Female,No,3,Not Graduate,Yes,296200,145788,68700,240,0,Urban,Private,48,33921,750572,1,Personal,Approved
LN2160,Male,No,3,Graduate,Yes,172099,114099,44300,300,1,Urban,Private,37,52894,59637,1,Vehicle,Approved
LN2161,Male,Yes,0,Graduate,Yes,262932,11138,67000,360,1,Rural,Business,55,25602,879690,1,Personal,Rejected
LN2162,Female,Yes,1,Not Graduate,Yes,131585,166370,71000,240,1,Rural,Government,53,37575,977328,2,Vehicle,Approved
LN2163,Female,No,1,Graduate,No,143585,182184,34200,120,1,Urban,Business,47,39023,703841,1,Education,Rejected
LN2164,Female,Yes,0,Graduate,No,389102,23429,66000,300,1,Semiurban,Government,46,65349,601238,1,Vehicle,Approved
LN2165,Male,Yes,1,Not Graduate,Yes,388161,50200,105900,360,1,Semiurban,Government,23,35997,466704,0,Home,Approved
LN2166,Female,No,0,Not Graduate,No,486821,179316,13100,120,1,Semiurban,Government,33,37750,702158,1,Home,Rejected
LN2167,Male,No,1,Graduate,Yes,391570,101268,49000,120,1,Urban,Government,30,61979,547760,1,Home,Approved
LN2168,Male,Yes,2,Graduate,No,379922,17347,37600,120,0,Semiurban,Private,33,42837,50215,0,Vehicle,Approved
LN2169,Female,Yes,2,Not Graduate,No,276313,147992,63100,120,1,Rural,Government,47,34997,417747,0,Home,Approved
LN2170,Female,Yes,3,Not Graduate,Yes,142229,31822,48200,240,1,Rural,Government,30,59439,847955,2,Home,Rejected
LN2171,Male,No,2,Graduate,No,186652,177731,119100,240,1,Urban,Business,31,43067,905121,1,Home,Approved
LN2172,Male,No,2,Not Graduate,Yes,490411,40108,98300,240,1,Rural,Business,53,65039,73834,2,Education,Approved
LN2173,Female,No,2,Graduate,No,349474,128955,31300,360,1,Urban,Private,55,40923,346618,2,Vehicle,Approved
LN2174,Female,No,0,Graduate,Yes,279436,7967,47500,360,1,Semiurban,Business,41,28876,617354,0,Vehicle,Approved
LN2175,Female,Yes,2,Graduate,Yes,488647,110719,84300,360,1,Semiurban,Government,23,22887,322544,2,Personal,Approved
LN2176,Male,No,2,Graduate,No,360116,11871,31200,180,1,Semiurban,Business,22,62422,961643,1,Vehicle,Approved
LN2177,Male,No,3,Graduate,No,447022,164685,17800,360,0,Rural,Private,57,56854,584633,0,Education,Approved
LN2178,Male,No,2,Not Graduate,Yes,419200,28179,72700,240,1,Urban,Business,45,71413,83896,1,Vehicle,Rejected
LN2179,Male,No,2,Not Graduate,No,119975,183260,70300,240,0,Semiurban,Business,48,56948,528646,1,Education,Approved
LN2180,Male,No,1,Not Graduate,No,257795,55099,88100,180,0,Urban,Private,23,22841,865331,0,Education,Approved
LN2181,Male,Yes,3,Not Graduate,Yes,309373,35262,110000,180,1,Semiurban,Private,52,79111,549387,1,Vehicle,Rejected
LN2182,Female,Yes,3,Graduate,Yes,297133,78213,77900,360,1,Rural,Government,35,48756,864661,0,Personal,Approved
LN2183,Male,No,3,Graduate,No,450541,117407,15700,300,0,Rural,Business,23,26040,560269,1,Home,Rejected
LN2184,Male,Yes,3,Graduate,Yes,280225,149340,114900,180,0,Urban,Government,50,72712,317727,0,Home,Approved
LN2185,Male,No,3,Graduate,Yes,395286,86269,98000,120,0,Rural,Business,36,30304,972401,2,Vehicle,Approved
LN2186,Female,No,3,Not Graduate,Yes,389060,60545,54600,240,1,Rural,Business,33,50341,563622,1,Vehicle,Approved
LN2187,Male,Yes,0,Graduate,No,164324,39922,16500,120,1,Urban,Government,58,24758,121537,0,Education,Approved
LN2188,Male,Yes,2,Graduate,No,276037,42913,116700,240,1,Semiurban,Business,49,37010,814777,1,Vehicle,Approved
LN2189,Female,No,3,Not Graduate,Yes,488076,97033,111100,240,0,Rural,Business,41,51658,447783,1,Education,Approved
LN2190,Male,No,2,Not Graduate,No,235720,104792,32600,180,1,Urban,Business,45,69002,649095,1,Personal,Rejected
LN2191,Male,No,2,Not Graduate,Yes,266205,186749,87300,180,1,Rural,Private,42,57782,703936,0,Vehicle,Approved
LN2192,Male,Yes,0,Not Graduate,No,196059,180913,77800,120,1,Rural,Government,31,21375,949084,2,Home,Approved
LN2193,Male,No,3,Graduate,Yes,198317,177404,70000,240,1,Rural,Private,35,53949,520455,2,Home,Approved
LN2194,Male,No,1,Graduate,Yes,301207,119863,47800,120,1,Rural,Government,58,42092,718689,2,Vehicle,Rejected
LN2195,Female,No,0,Not Graduate,No,397190,156104,80800,300,1,Urban,Government,39,20490,282117,0,Education,Approved
LN2196,Female,Yes,1,Graduate,Yes,201459,168918,40600,120,1,Urban,Business,45,23729,823068,2,Home,Approved
LN2197,Female,No,2,Graduate,No,337697,190546,87800,360,1,Urban,Government,35,25974,383936,0,Education,Approved
LN2198,Male,No,2,Graduate,No,300422,44936,60300,120,1,Rural,Private,55,72686,443444,1,Vehicle,Approved
LN2199,Male,Yes,0,Not Graduate,Yes,408037,160866,36700,360,0,Rural,Private,33,39680,263286,1,Vehicle,Approved
LN2200,Male,No,0,Graduate,Yes,201520,192660,10700,360,1,Rural,Private,43,38324,611340,2,Home,Rejected
LN2201,Female,No,1,Not Graduate,No,487962,181403,60700,360,0,Urban,Government,27,51334,500985,0,Vehicle,Approved
LN2202,Male,Yes,3,Graduate,Yes,161272,28141,57500,300,1,Rural,Private,57,41398,96032,1,Personal,Rejected
LN2203,Male,No,1,Graduate,Yes,323224,140146,26300,120,1,Semiurban,Government,57,54650,554910,0,Personal,Approved
LN2204,Female,Yes,0,Graduate,Yes,429793,137478,58400,120,1,Rural,Private,43,41292,345830,0,Home,Approved
LN2205,Male,Yes,1,Not Graduate,Yes,426818,97359,119500,300,0,Semiurban,Private,35,55755,913413,1,Personal,Rejected
LN2206,Female,No,0,Graduate,Yes,244832,123279,66600,240,1,Rural,Government,37,58353,673090,0,Education,Approved
LN2207,Female,No,1,Not Graduate,No,252999,154363,100400,180,1,Urban,Private,57,23159,970313,1,Home,Rejected
LN2208,Female,No,0,Not Graduate,No,448619,41568,65800,120,1,Rural,Business,46,52626,284337,1,Home,Approved
LN2209,Male,No,0,Not Graduate,Yes,161367,97539,33700,180,1,Semiurban,Government,53,49351,222857,1,Education,Rejected
LN2210,Male,Yes,0,Graduate,Yes,329027,46851,65300,300,1,Semiurban,Government,54,57298,479763,0,Personal,Approved
LN2211,Male,No,3,Graduate,Yes,483894,54823,92700,240,1,Rural,Government,57,37065,354962,1,Personal,Approved
LN2212,Male,Yes,1,Graduate,No,332750,23312,56700,240,1,Semiurban,Business,41,41638,936854,0,Personal,Approved
LN2213,Male,No,1,Graduate,Yes,335806,174180,48500,240,1,Semiurban,Government,39,21073,384071,1,Home,Approved
LN2214,Male,No,1,Not Graduate,No,480298,197990,87400,300,0,Urban,Private,59,66511,771041,1,Home,Approved
LN2215,Male,No,0,Not Graduate,No,283305,165243,94700,360,1,Rural,Private,24,38771,391609,2,Personal,Approved
LN2216,Female,Yes,1,Not Graduate,No,144738,172851,48600,360,1,Rural,Private,44,79738,795222,2,Vehicle,Approved
LN2217,Male,No,1,Graduate,Yes,133397,199900,97600,180,1,Rural,Government,53,55461,800887,2,Personal,Approved
LN2218,Female,No,0,Not Graduate,No,444333,98723,35800,360,1,Semiurban,Private,37,62330,687509,0,Education,Rejected
LN2219,Male,No,2,Graduate,Yes,438511,12411,38200,360,1,Rural,Government,26,49320,349477,0,Home,Approved
LN2220,Male,No,0,Not Graduate,No,302332,57009,13900,240,1,Rural,Private,25,24340,176457,1,Education,Approved
LN2221,Male,Yes,1,Graduate,Yes,482729,146494,58500,240,1,Urban,Business,42,54924,328720,1,Education,Approved
LN2222,Female,No,0,Graduate,No,438763,173540,102800,180,1,Urban,Business,35,36184,169875,1,Home,Approved
LN2223,Female,Yes,2,Not Graduate,Yes,211453,32371,31900,120,1,Urban,Business,52,60734,875837,1,Vehicle,Approved
LN2224,Female,Yes,0,Not Graduate,No,119816,57022,111400,180,1,Semiurban,Business,35,22580,930432,0,Personal,Approved
LN2225,Female,Yes,1,Not Graduate,Yes,499492,71229,112300,180,1,Rural,Government,27,60025,516995,1,Education,Rejected
